route_stop_id,awb,stop_order,point_type,hub_code,display_name,latitude,longitude
RS-00246,ANT-FRZ-0065,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00247,ANT-FRZ-0065,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00248,ANT-FRZ-0066,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00249,ANT-FRZ-0066,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00250,ANT-FRZ-0066,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00251,ANT-FRZ-0066,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00252,ANT-FRZ-0066,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00253,ANT-FRZ-0067,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00254,ANT-FRZ-0067,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00255,ANT-FRZ-0067,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00256,ANT-FRZ-0067,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00257,ANT-FRZ-0068,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00258,ANT-FRZ-0068,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00259,ANT-FRZ-0068,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00260,ANT-FRZ-0069,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00261,ANT-FRZ-0069,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00262,ANT-FRZ-0069,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00263,ANT-FRZ-0069,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00264,ANT-FRZ-0070,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00265,ANT-FRZ-0070,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00266,ANT-FRZ-0070,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
