assignment_id,awb,asset_code,asset_type,segment,started_at,ended_at
AS-00189,ANT-FRZ-0052,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:12:00.000Z,2026-09-18T14:56:00.000Z
AS-00190,ANT-FRZ-0052,BAG-052,COOLER_BAG,LAST_MILE,2026-09-18T14:56:00.000Z,2026-09-18T16:00:00.000Z
AS-00191,ANT-FRZ-0053,BAG-053,COOLER_BAG,PICKUP,2026-09-18T14:34:00.000Z,2026-09-18T15:35:00.000Z
AS-00192,ANT-FRZ-0053,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T15:35:00.000Z,2026-09-18T15:59:00.000Z
AS-00193,ANT-FRZ-0053,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:59:00.000Z,
AS-00194,ANT-FRZ-0054,BAG-054,COOLER_BAG,PICKUP,2026-09-18T15:58:00.000Z,
AS-00195,ANT-FRZ-0055,BAG-055,COOLER_BAG,PICKUP,2026-09-18T14:46:00.000Z,2026-09-18T15:31:00.000Z
AS-00196,ANT-FRZ-0055,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T15:31:00.000Z,2026-09-18T15:57:00.000Z
AS-00197,ANT-FRZ-0055,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:57:00.000Z,
AS-00198,ANT-FRZ-0056,BAG-056,COOLER_BAG,PICKUP,2026-09-18T15:56:00.000Z,
AS-00199,ANT-FRZ-0057,BAG-057,COOLER_BAG,PICKUP,2026-09-18T12:46:00.000Z,2026-09-18T13:33:00.000Z
AS-00200,ANT-FRZ-0057,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:33:00.000Z,2026-09-18T14:01:00.000Z
AS-00201,ANT-FRZ-0057,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:01:00.000Z,2026-09-18T14:51:00.000Z
AS-00202,ANT-FRZ-0057,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T14:51:00.000Z,2026-09-18T15:20:00.000Z
AS-00203,ANT-FRZ-0057,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:20:00.000Z,2026-09-18T15:55:00.000Z
AS-00204,ANT-FRZ-0057,BAG-057,COOLER_BAG,LAST_MILE,2026-09-18T15:55:00.000Z,
AS-00205,ANT-FRZ-0058,BAG-058,COOLER_BAG,PICKUP,2026-09-18T15:54:00.000Z,
AS-00206,ANT-FRZ-0059,BAG-059,COOLER_BAG,PICKUP,2026-09-18T12:34:00.000Z,2026-09-18T13:23:00.000Z
AS-00207,ANT-FRZ-0059,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T13:23:00.000Z,2026-09-18T13:53:00.000Z
AS-00208,ANT-FRZ-0059,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:53:00.000Z,2026-09-18T14:45:00.000Z
AS-00209,ANT-FRZ-0059,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T14:45:00.000Z,2026-09-18T15:16:00.000Z
AS-00210,ANT-FRZ-0059,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:16:00.000Z,2026-09-18T15:53:00.000Z
AS-00211,ANT-FRZ-0059,BAG-059,COOLER_BAG,LAST_MILE,2026-09-18T15:53:00.000Z,
AS-00212,ANT-FRZ-0060,BAG-060,COOLER_BAG,PICKUP,2026-09-18T15:52:00.000Z,
AS-00213,ANT-FRZ-0061,BAG-061,COOLER_BAG,PICKUP,2026-09-18T11:39:00.000Z,2026-09-18T12:30:00.000Z
AS-00214,ANT-FRZ-0061,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T12:30:00.000Z,2026-09-18T12:50:00.000Z
AS-00215,ANT-FRZ-0061,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:50:00.000Z,2026-09-18T13:44:00.000Z
AS-00216,ANT-FRZ-0061,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T13:44:00.000Z,2026-09-18T14:05:00.000Z
AS-00217,ANT-FRZ-0061,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:05:00.000Z,2026-09-18T15:02:00.000Z
AS-00218,ANT-FRZ-0061,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T15:02:00.000Z,2026-09-18T15:24:00.000Z
AS-00219,ANT-FRZ-0061,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:24:00.000Z,2026-09-18T16:03:00.000Z
AS-00220,ANT-FRZ-0061,BAG-061,COOLER_BAG,LAST_MILE,2026-09-18T16:03:00.000Z,
AS-00221,ANT-FRZ-0062,BAG-062,COOLER_BAG,PICKUP,2026-09-18T15:10:00.000Z,2026-09-18T16:02:00.000Z
AS-00222,ANT-FRZ-0062,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T16:02:00.000Z,
AS-00223,ANT-FRZ-0063,BAG-063,COOLER_BAG,PICKUP,2026-09-18T12:46:00.000Z,2026-09-18T13:39:00.000Z
AS-00224,ANT-FRZ-0063,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T13:39:00.000Z,2026-09-18T14:01:00.000Z
AS-00225,ANT-FRZ-0063,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:01:00.000Z,2026-09-18T14:57:00.000Z
AS-00226,ANT-FRZ-0063,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:57:00.000Z,2026-09-18T15:20:00.000Z
AS-00227,ANT-FRZ-0063,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:20:00.000Z,2026-09-18T16:01:00.000Z
AS-00228,ANT-FRZ-0063,BAG-063,COOLER_BAG,LAST_MILE,2026-09-18T16:01:00.000Z,
AS-00229,ANT-FRZ-0064,BAG-064,COOLER_BAG,PICKUP,2026-09-18T15:06:00.000Z,2026-09-18T16:00:00.000Z
AS-00230,ANT-FRZ-0064,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T16:00:00.000Z,
AS-00231,ANT-FRZ-0065,BAG-065,COOLER_BAG,PICKUP,2026-09-18T11:38:00.000Z,2026-09-18T12:33:00.000Z
AS-00232,ANT-FRZ-0065,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T12:33:00.000Z,2026-09-18T12:57:00.000Z
AS-00233,ANT-FRZ-0065,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:57:00.000Z,2026-09-18T13:55:00.000Z
AS-00234,ANT-FRZ-0065,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T13:55:00.000Z,2026-09-18T14:20:00.000Z
AS-00235,ANT-FRZ-0065,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:20:00.000Z,2026-09-18T15:03:00.000Z
AS-00236,ANT-FRZ-0065,BAG-065,COOLER_BAG,LAST_MILE,2026-09-18T15:03:00.000Z,2026-09-18T15:59:00.000Z
AS-00237,ANT-FRZ-0066,BAG-066,COOLER_BAG,PICKUP,2026-09-18T12:10:00.000Z,2026-09-18T13:06:00.000Z
AS-00238,ANT-FRZ-0066,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T13:06:00.000Z,2026-09-18T13:31:00.000Z
AS-00239,ANT-FRZ-0066,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:31:00.000Z,2026-09-18T14:30:00.000Z
AS-00240,ANT-FRZ-0066,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:30:00.000Z,2026-09-18T14:56:00.000Z
AS-00241,ANT-FRZ-0066,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:56:00.000Z,2026-09-18T15:58:00.000Z
AS-00242,ANT-FRZ-0066,FREEZER-TGS,HUB_FREEZER,AT_HUB,2026-09-18T15:58:00.000Z,
AS-00243,ANT-FRZ-0067,BAG-067,COOLER_BAG,PICKUP,2026-09-18T11:24:00.000Z,2026-09-18T12:21:00.000Z
AS-00244,ANT-FRZ-0067,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T12:21:00.000Z,2026-09-18T12:47:00.000Z
AS-00245,ANT-FRZ-0067,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:47:00.000Z,2026-09-18T13:47:00.000Z
AS-00246,ANT-FRZ-0067,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T13:47:00.000Z,2026-09-18T14:14:00.000Z
AS-00247,ANT-FRZ-0067,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:14:00.000Z,2026-09-18T14:59:00.000Z
AS-00248,ANT-FRZ-0067,BAG-067,COOLER_BAG,LAST_MILE,2026-09-18T14:59:00.000Z,2026-09-18T15:57:00.000Z
AS-00249,ANT-FRZ-0068,BAG-068,COOLER_BAG,PICKUP,2026-09-18T14:31:00.000Z,2026-09-18T15:29:00.000Z
AS-00250,ANT-FRZ-0068,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T15:29:00.000Z,2026-09-18T15:56:00.000Z
AS-00251,ANT-FRZ-0068,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:56:00.000Z,
AS-00252,ANT-FRZ-0069,BAG-069,COOLER_BAG,PICKUP,2026-09-18T11:10:00.000Z,2026-09-18T12:09:00.000Z
AS-00253,ANT-FRZ-0069,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T12:09:00.000Z,2026-09-18T12:37:00.000Z
AS-00254,ANT-FRZ-0069,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:37:00.000Z,2026-09-18T13:39:00.000Z
AS-00255,ANT-FRZ-0069,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T13:39:00.000Z,2026-09-18T14:08:00.000Z
AS-00256,ANT-FRZ-0069,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:08:00.000Z,2026-09-18T14:55:00.000Z
AS-00257,ANT-FRZ-0069,BAG-069,COOLER_BAG,LAST_MILE,2026-09-18T14:55:00.000Z,2026-09-18T15:55:00.000Z
AS-00258,ANT-FRZ-0070,BAG-070,COOLER_BAG,PICKUP,2026-09-18T14:25:00.000Z,2026-09-18T15:25:00.000Z
AS-00259,ANT-FRZ-0070,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T15:25:00.000Z,2026-09-18T15:54:00.000Z
AS-00260,ANT-FRZ-0070,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:54:00.000Z,
